title,authorName,imageURL,description,category,price,likes,stock,averageRating
1776,David McCullough,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1306787560i/1067.jpg,"In this masterful book, David McCullough tells the intensely human story of those who marched with General George Washington in the year of the Declaration of Independence - when the whole American cause was riding on their success, without which all hope for independence would have been dashed and the noble ideals of the Declaration would have amounted to little more than words on paper.","['History', 'Nonfiction']",163000,51,3,4.1
Black Hawk Down: A Story of Modern War,Mark Bowden,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553055240i/55403.jpg,"On October 3, 1993, about a hundred U.","['History', 'Nonfiction']",192000,89,9,4.3
Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,Marcus Luttrell,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1344265535i/711901.jpg,"On a clear night in late June 2005, four U.","['Nonfiction', 'Military Fiction']",15000,59,5,4.34
13 Hours: The Inside Account of What Really Happened In Benghazi,Mitchell Zuckoff,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411493281i/22608582.jpg,"The harrowing, true account from the brave men on the ground who fought back during the Battle of Benghazi.","['Nonfiction', 'History']",153000,42,9,4.3
No Easy Day: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1345815909i/15814872.jpg,"From the streets of Iraq to the rescue of Captain Richard Phillips in the Indian Ocean, and from the mountaintops of Afghanistan to the third floor of Osama Bin Laden's compound, operator Mark Owen of the U.","['Nonfiction', 'Military Fiction']",100000,62,4,4.03
American Psycho,Bret Easton Ellis,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1436934349i/28676.jpg,Patrick Bateman is twenty-six and works on Wall Street.,"['Fiction', 'Horror']",76000,36,4,3.81
Haunted,Chuck Palahniuk,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391152326i/22288.jpg,"Haunted is a novel made up of stories: twenty-three of the most horrifying, hilarious, mind-blowing, stomach-churning tales you'll ever encounter.","['Horror', 'Fiction']",57000,89,4,3.59
The Slob,Aron Beauregard,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1606059271i/55989293.jpg,SOME STAINS DON'T COME OUT.,"['Horror', 'Splatterpunk']",38000,74,2,3.38
The Storyteller: Tales of Life and Music,Dave Grohl,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1617714166i/57648017.jpg,"So, I've written a book.","['Nonfiction', 'Audiobook']",83000,17,10,4.46
Greenlights,Matthew McConaughey,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1604281659i/52838315.jpg,"From the Academy Award®–winning actor, an unconventional memoir filled with raucous stories, outlaw wisdom, and lessons learned the hard way about living with greater satisfaction.","['Nonfiction', 'Audiobook']",42000,23,1,4.21
The Ideological Brain: The Radical Science of Flexible Thinking,Leor Zmigrod,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1721680432i/213263145.jpg,"Why do some people become radicalized?How do ideologies shape the human brain?And how can we unchain our minds from toxic dogmas?InThe Ideological Brain, Leor Zmigrod reveals the deep connection between political beliefs and the biology of the brain.","['Nonfiction', 'Self Help']",49000,23,5,4.47
Healing in Advance: Your Prehabilitation Handbook,Alexander     Watson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1732371558i/221853632.jpg,Take charge of your health and change your outlook.,['General'],21000,42,5,0.0
Black Power Scorecard: Measuring the Racial Gap and What We Can Do to Close It,Andre M. Perry,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1718938536i/211004887.jpg,"From the creator of “a unified field theory of racism” (NPR’sPlanet Money), a dollars-and-cents reckoning of the state of Black America and a new framework to close the power gapHistorically, Black Americans’ quest for power has been understood as an attempt to gain equal protections under the law.",['General'],35000,51,5,3.71
Ways of Seeing,John Berger,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1703328414i/2784.jpg,John Berger’s Classic Text on ArtWays of Seeingis one of the most stimulating and the most influential books on art in any language.,"['Art', 'Nonfiction']",80000,59,4,3.93
The Story of Art,E.H. Gombrich,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389274650i/222078.jpg,"Renowned not only as the best concise introduction to art history, but also as a classic of art historical literature, this book reflects the vast knowledge, insights, and expertise of one of this century's greatest art historians and thinkers.","['Art', 'Nonfiction']",35000,2,2,3.96
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Austin Kleon,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404576602i/13099738.jpg,"You don’t need to be a genius, you just need to be yourself.","['Nonfiction', 'Art']",77000,60,10,3.96
The New Drawing on the Right Side of the Brain,Betty Edwards,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348133732i/627206.jpg,"WhenDrawing on the Right Side of the Brainwas first published in 1979, it hit theNew York Timesbestseller list within two weeks and stayed there for more than a year.","['Art', 'Nonfiction']",15000,34,1,3.87
